player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,2026-02-15,18:02:41,4,2,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Ashe, Grayson",10062829,Right,JAC_GAM,Undefined,3,Bottom,2,1,0,Undefined,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,9b4e6f50-0b3f-11f1-896c-a540bc8f094d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:02:41,2026-02-15T23:02:41Z,2026-02-15T23:02:41Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,28318fb9-4874-4c1a-8d66-36bb97a2fc9e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,2026-02-15,18:02:57,4,3,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Ashe, Grayson",10062829,Right,JAC_GAM,Undefined,3,Bottom,2,2,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.97289,-1.013593,-3.051934,2196.200472,141.631149,10:45:00,5.86356,1.98862,5.70701,-36.69907,5.19768,-3.09477,1.85948,-1.11554,75.47989,-7.744348,-3.604688,0.465867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74035,3.30221,-1.73068,50,5.75562,6.46121,-118.92157,-3.31758,1.06117,22.61776,-27.44092,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,785ed4d0-0ac2-11f1-b0c0-19560562b9c6,80.90819,NA,NA,6.493,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:02:57,2026-02-15T23:02:57Z,2026-02-15T23:02:57Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,4ad714c6-2140-439b-95fa-fdfc9f1e81dd,54.7934,-119.82976,11.30888,5.86671,-2.21572,-13.72046,-1.98927,6.4186,0.53059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,2026-02-15,18:03:16,4,4,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Ashe, Grayson",10062829,Right,JAC_GAM,Undefined,3,Bottom,2,3,0,Slider,Slider,BallCalled,Walk,Undefined,Undefined,0,0,NA,80.65263,-0.105393,-3.485137,2211.155462,112.033447,09:45:00,5.94514,1.88228,5.50189,-41.4651,2.66851,-2.87398,2.39095,-1.62092,73.43487,-7.699692,-3.995973,0.478141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37303,1.82776,-1.57543,50,5.90814,7.22857,-116.79192,-1.62077,0.50983,24.15553,-29.67605,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,83ccb440-0ac2-11f1-b0c0-19560562b9c6,78.83119,NA,NA,7.21776,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:03:16,2026-02-15T23:03:16Z,2026-02-15T23:03:16Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,a691e080-d63e-4729-84ab-19d372f4e667,54.99666,-117.82082,12.07776,5.95025,-0.35672,-14.83802,-1.88286,7.20686,0.25491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,2026-02-15,18:04:06,5,1,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pena, Orlando",1000060920,Right,JAC_GAM,Undefined,3,Bottom,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.38024,-3.402201,-3.267259,2266.576046,215.013683,01:15:00,5.93584,1.91822,5.95222,-16.15942,19.94135,13.08768,1.425,-0.02464,80.29977,-6.495126,-0.920079,0.432444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.72351,11.63768,-1.66566,50,5.65567,6.76491,-127.93615,-8.06116,-12.70784,28.18662,-13.02607,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,a18aaff0-0ac2-11f1-b0c0-19560562b9c6,87.16151,NA,NA,8.08047,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:04:06,2026-02-15T23:04:06Z,2026-02-15T23:04:06Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,9eb4af2f-9b1c-4ac6-9665-433c8604e052,54.54748,-128.93414,14.09331,5.93292,-7.59995,-6.51303,-1.91315,7.21485,-6.35392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,2026-02-15,18:04:44,5,2,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pena, Orlando",1000060920,Right,JAC_GAM,Undefined,3,Bottom,2,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,80.03247,-0.262151,-2.391542,2207.79392,96.367139,09:15:00,5.96257,2.01898,5.44548,-42.43959,1.80713,-4.2987,2.18028,-0.57972,73.86327,-7.990843,-3.156531,0.478753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53646,1.34189,-1.80445,50,5.90986,5.01999,-116.18329,-1.97277,2.10587,21.20963,-30.33482,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,b7c59af0-0ac2-11f1-b0c0-19560562b9c6,78.73039,NA,NA,6.1692,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:04:44,2026-02-15T23:04:44Z,2026-02-15T23:04:44Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,4e6a1cb3-3754-4dd8-a4d7-f8390be95b19,55.05605,-117.10265,10.60481,5.96687,-0.65786,-15.16741,-2.02007,4.92871,1.05293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,2026-02-15,18:05:03,5,3,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pena, Orlando",1000060920,Right,JAC_GAM,Undefined,3,Bottom,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.7667,-0.139116,-4.029655,2223.7502,203.779,12:45:00,6.05717,1.71124,5.9451,-11.61717,24.24131,10.12922,4.95971,-1.18863,80.05967,-2.444016,-2.217368,0.43099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.39366,12.78678,-1.39533,50,6.03944,8.61908,-128.5249,-0.54659,-10.58756,29.12623,-10.99981,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,c3971e30-0ac2-11f1-b0c0-19560562b9c6,87.45546,NA,NA,8.70703,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:05:03,2026-02-15T23:05:03Z,2026-02-15T23:05:03Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,5f357c5d-6f0b-4c39-b930-43e17f28eea6,54.55185,-129.55233,14.56311,6.05188,-0.15857,-5.49991,-1.70596,8.99256,-5.29378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,2026-02-15,18:05:30,5,4,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pena, Orlando",1000060920,Right,JAC_GAM,Undefined,3,Bottom,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.72537,-2.006786,-4.532864,1697.315272,251.385946,02:30:00,5.87025,2.05653,5.96029,-37.76766,6.44398,14.79296,0.85543,-0.92287,73.11598,-8.970212,-1.880256,0.478564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.9839,4.2841,-1.70461,50,5.68912,8.61504,-115.44142,-5.20848,-12.07715,22.25771,-26.41488,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,d3a95860-0ac2-11f1-b0c0-19560562b9c6,78.76159,NA,NA,6.60939,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:05:30,2026-02-15T23:05:30Z,2026-02-15T23:05:30Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,ce9ee1ac-0eaf-4966-baec-d9db29783418,54.54127,-116.3137,11.12885,5.87296,-4.17327,-13.20744,-2.05151,9.08835,-6.03858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,2026-02-15,18:05:52,5,5,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pena, Orlando",1000060920,Right,JAC_GAM,Undefined,3,Bottom,2,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.99125,-1.557999,-4.551529,2276.205101,210.762437,01:00:00,5.98599,1.72511,6.18323,-13.43359,20.30737,11.40166,3.42293,-1.53657,82.49601,-4.174009,-2.504147,0.418071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.21985,11.28666,-1.38635,50,5.86098,10.00609,-131.73257,-3.91895,-12.61024,29.56233,-12.46072,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,e070d460-0ac2-11f1-b0c0-19560562b9c6,90.15793,NA,NA,8.49524,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:05:52,2026-02-15T23:05:52Z,2026-02-15T23:05:52Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,8cec66d3-3be6-4ef3-9863-e08117d5b8d3,54.31515,-132.69741,14.78116,5.98224,-3.51227,-6.23036,-1.71963,10.41766,-6.30512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,2026-02-15,18:06:11,5,6,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pena, Orlando",1000060920,Right,JAC_GAM,Undefined,3,Bottom,2,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,90.69193,-0.903516,-3.387915,2266.138595,199.947721,12:45:00,6.04149,1.77497,5.92973,-10.02863,24.12367,8.34154,4.36592,-0.67701,82.27768,-2.900862,-1.894139,0.420612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.23374,12.92079,-1.50854,50,5.96334,7.41795,-131.4626,-2.26819,-9.11755,29.05218,-9.66511,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,ebeeb960-0ac2-11f1-b0c0-19560562b9c6,89.61336,NA,NA,8.41425,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:06:11,2026-02-15T23:06:11Z,2026-02-15T23:06:11Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,6a40d09c-95fb-4732-9d7f-8808362ce1bd,54.56802,-132.46825,14.52609,6.03607,-1.93363,-4.83256,-1.77077,7.73356,-4.55877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,2026-02-15,18:06:51,6,1,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pate, Jaxon",10002268,Left,JAC_GAM,Undefined,3,Bottom,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.41623,-1.131491,-1.241071,2141.836743,133.970056,10:30:00,5.89114,1.97783,5.69783,-36.74085,5.95146,-4.70559,1.7746,0.42898,74.45767,-7.896264,-2.083485,0.470269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03079,3.7752,-1.87062,50,5.77328,2.74435,-118.15392,-3.53538,2.85205,23.88717,-26.87216,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,039b0eb0-0ac3-11f1-b0c0-19560562b9c6,80.15085,NA,NA,6.95857,NA,NA,NA,NA,NA,NA,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:06:51,2026-02-15T23:06:51Z,2026-02-15T23:06:51Z,NA,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,79df65c0-0204-4bfe-8edc-f5a1bef2359f,54.80143,-119.12067,11.94359,5.89435,-2.44782,-13.43608,-1.97935,2.62892,1.42603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,2026-02-15,18:07:08,6,2,"Brouwer, Adam",1000077965,Right,CIN_BEA,"Pate, Jaxon",10002268,Left,JAC_GAM,Undefined,3,Bottom,2,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,80.1506,-0.472303,-3.32982,1804.027368,250.112706,02:15:00,5.86058,2.07409,5.63764,-37.63541,6.42158,13.81989,2.28291,0.11573,73.4068,-7.398662,-0.86341,0.477726,81.75032,-50.141336,101.16746500000001,NA,NA,NA,NA,2.58723,2.22938,44.666923,0.025826000000000002,-8.00567,3.78544,-1.8,50,5.7962,6.23164,-116.23661,-2.1779,-10.9308,22.19555,-27.00547,JAC_GAM,CIN_BEA,RudyAbbottField,D1,CUSA,20260215-RudyAbbottField-1,0de5f1f0-0ac3-11f1-b0c0-19560562b9c6,78.89974,2.38307,NA,6.7438,NA,NA,NA,2.2254,2.38307,-0.13318,dce79a73-e9fd-44a9-a959-abd4f712d230,2026-02-15,23:07:08,2026-02-15T23:07:08Z,2026-02-15T23:07:08Z,GroundBall,v3,471325,471270,58cacc9089e44b858b75f7509ea8a616,"Natili, Jack",814385,Right,CIN_BEA,83dd3b62-f2e8-4769-9164-756c8a567db6,54.86342,-117.1616,11.09778,5.86352,-1.05245,-13.50274,-2.06919,6.68718,-5.4654,NA,2.22556,-14.92106,NA,NA,NA,NA,NA,NA,NA,2.38406,-92.275,NA,NA,NA,NA,NA,NA,NA,-0.13399,75.58209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
